@relation 'CommitMessages'

@attribute Text string
@attribute class-att {negative,positive}

@data

'todo need allow user specify this ',negative
'dialect delegate for the timesten database todo this dialect not yet complete need provide implementations wherever not yet implemented appears ',negative
'dialect delegate for the sun microsystems hadb highavailability database todo this dialect not yet complete need provide implementations wherever not yet implemented appears author manningr ',negative
'not yet ready tab new return new tab ',negative
'todo set the total for the progress bar ',negative
'todo use the destination database type derive format that acceptable ',negative
'future may want create tablepopupmenu allow cutcopypaste operations ',negative
'todo ask the user they want undo the changes that the paste made alternatively show them the specific problem and let them fix then allow them retry the operation starting from the point which the previous operation failed ',negative
'retrieving default column values ',negative
'flag for whether have already loaded the properties not ',negative
'history file not found for user first time user ran pgm ',negative
'default point define font relative that ',negative
'getting javasqldriver run shutdown command ',negative
'session colors for this alias ',negative
'remove trailing ',negative
'version this optional you dont want give out this info please enter ',negative
'expanders trigger and index expanders are added inside the table expander new schemaexpander ',negative
'the code bellow only for embedded derby driver ',negative
'register custom datatypecomponent factory for derby clob type ',negative
'handle null which shown the special string null ',negative
